iter	RMSE
0	0.03796733381
1	0.03769807975
2	0.03742636805
3	0.03715087754
4	0.0369073563
5	0.03664795996
6	0.03639923079
7	0.03613363021
8	0.03588068059
9	0.0356427002
10	0.03542104116
11	0.03520493265
12	0.03499383206
13	0.03481740541
14	0.0346260763
15	0.03443921197
16	0.03426283068
17	0.03408465335
18	0.03392051695
19	0.03375598206
20	0.03360086628
21	0.03345378109
22	0.03332877313
23	0.03317884852
24	0.03304904535
25	0.03291928318
26	0.03280198019
27	0.03266090383
28	0.03254858032
29	0.03245247589
30	0.03233994169
31	0.03222661363
32	0.03210471164
33	0.03198618866
34	0.03188428965
35	0.03179692107
36	0.03169564276
37	0.03160558464
38	0.03156713554
39	0.03146617553
40	0.03137384496
41	0.03129874839
42	0.03122675245
43	0.03113557621
44	0.03106489212
45	0.03100845791
46	0.03093556499
47	0.03087504698
48	0.03082176536
49	0.03074684583
50	0.03067658866
51	0.03063547419
52	0.03059985934
53	0.03056583415
54	0.03051688601
55	0.03048275728
56	0.03043943595
57	0.03038203047
58	0.0303576185
59	0.03030507633
60	0.0302646335
61	0.03025649557
62	0.03020553574
63	0.03019845959
64	0.03015707684
65	0.030122042
66	0.03008674991
67	0.03004919115
68	0.0300194855
69	0.02998337953
70	0.02992108069
71	0.02988217196
72	0.02984609256
73	0.02980023028
74	0.02976323712
75	0.02973942426
76	0.02970520637
77	0.02966768693
78	0.02964389576
79	0.02963164115
80	0.02960945104
81	0.02958869067
82	0.02955336453
83	0.02951742915
84	0.02949221844
85	0.02946126143
86	0.0294366432
87	0.02942658967
88	0.02942391853
89	0.0294008292
90	0.02938254258
91	0.02936176096
92	0.02934761055
93	0.02931418462
94	0.02928734957
95	0.02926375413
96	0.0292448989
97	0.0292129557
98	0.02919226195
99	0.02917911483
100	0.02915617638
101	0.02912920953
102	0.0290947532
103	0.02906782484
104	0.02904056827
105	0.02903209369
106	0.02902820506
107	0.02900781188
108	0.02900207533
109	0.02900177401
110	0.02899453169
111	0.02898224535
112	0.02897239442
113	0.02895495568
114	0.02893627807
115	0.0289247744
116	0.02889488352
117	0.02888056111
118	0.02887868111
119	0.02887832429
120	0.02886733403
121	0.028856548
122	0.02884843223
123	0.02883465268
124	0.0288299504
125	0.02881613816
126	0.02879215001
127	0.02878410004
128	0.02876302143
129	0.02874731249
130	0.02873671659
131	0.02873613755
132	0.02872535146
133	0.0287157774
134	0.02870616799
135	0.02869480943
136	0.02869193525
137	0.02869084261
138	0.02867890791
139	0.02866099752
140	0.02864806073
141	0.02864664757
142	0.02863659353
143	0.02862760053
144	0.02861930089
145	0.0286119803
146	0.02861020212
147	0.0285851799
148	0.02856244055
149	0.0285618342
150	0.02856183171
151	0.02854464018
152	0.02852500981
153	0.02852433371
154	0.02852349909
155	0.02850813483
156	0.02850697278
157	0.02850697096
158	0.02850500041
159	0.02850364515
160	0.02850177483
161	0.0285017734
162	0.02849616602
163	0.02848865249
164	0.02848809636
165	0.02848162926
166	0.0284809372
